make,fuel-type,aspiration,body-style,drive-wheels,engine-location,wheel-base,length,width,curb-weight,engine-type,num-of-cylinders,engine-size,fuel-system,bore,horsepower,city-mpg,highway-mpg,price
alfa-romero,gas,std,convertible,rwd,front,88.6,168.8,64.1,2548,dohc,4,130,mpfi,3.47,111,21,27,13495.0
alfa-romero,gas,std,convertible,rwd,front,88.6,168.8,64.1,2548,dohc,4,130,mpfi,3.47,111,21,27,16500.0
alfa-romero,gas,std,hatchback,rwd,front,94.5,171.2,65.5,2823,ohcv,6,152,mpfi,2.68,154,19,26,16500.0
audi,gas,std,sedan,fwd,front,99.8,176.6,66.2,2337,ohc,4,109,mpfi,3.19,102,24,30,13950.0
audi,gas,std,sedan,4wd,front,99.4,176.6,66.4,2824,ohc,5,136,mpfi,3.19,115,18,22,17450.0
audi,gas,std,sedan,fwd,front,99.8,177.3,66.3,2507,ohc,5,136,mpfi,3.19,110,19,25,15250.0
audi,gas,std,sedan,fwd,front,105.8,192.7,71.4,2844,ohc,5,136,mpfi,3.19,110,19,25,17710.0
audi,gas,std,wagon,fwd,front,105.8,192.7,71.4,2954,ohc,5,136,mpfi,3.19,110,19,25,18920.0
audi,gas,turbo,sedan,fwd,front,105.8,192.7,71.4,3086,ohc,5,131,mpfi,3.13,140,17,20,23875.0
bmw,gas,std,sedan,rwd,front,101.2,176.8,64.8,2395,ohc,4,108,mpfi,3.5,101,23,29,16430.0
bmw,gas,std,sedan,rwd,front,101.2,176.8,64.8,2395,ohc,4,108,mpfi,3.5,101,23,29,16925.0
bmw,gas,std,sedan,rwd,front,101.2,176.8,64.8,2710,ohc,6,164,mpfi,3.31,121,21,28,20970.0
bmw,gas,std,sedan,rwd,front,101.2,176.8,64.8,2765,ohc,6,164,mpfi,3.31,121,21,28,21105.0
bmw,gas,std,sedan,rwd,front,103.5,189.0,66.9,3055,ohc,6,164,mpfi,3.31,121,20,25,24565.0
bmw,gas,std,sedan,rwd,front,103.5,189.0,66.9,3230,ohc,6,209,mpfi,3.62,182,16,22,29680.5
bmw,gas,std,sedan,rwd,front,103.5,193.8,67.9,3380,ohc,6,209,mpfi,3.62,182,16,22,29680.5
bmw,gas,std,sedan,rwd,front,110.0,197.0,70.9,3505,ohc,6,209,mpfi,3.62,182,15,20,29680.5
chevrolet,gas,std,hatchback,fwd,front,88.4,141.1,60.3,1488,l,3,61,2bbl,2.91,48,47,53,5151.0
chevrolet,gas,std,hatchback,fwd,front,94.5,155.9,63.6,1874,ohc,4,90,2bbl,3.03,70,38,43,6295.0
chevrolet,gas,std,sedan,fwd,front,94.5,158.8,63.6,1909,ohc,4,90,2bbl,3.03,70,38,43,6575.0
dodge,gas,std,hatchback,fwd,front,93.7,157.3,63.8,1876,ohc,4,90,2bbl,2.97,68,37,41,5572.0
dodge,gas,std,hatchback,fwd,front,93.7,157.3,63.8,1876,ohc,4,90,2bbl,2.97,68,31,38,6377.0
dodge,gas,turbo,hatchback,fwd,front,93.7,157.3,63.8,2128,ohc,4,98,mpfi,3.03,102,24,30,7957.0
dodge,gas,std,hatchback,fwd,front,93.7,157.3,63.8,1967,ohc,4,90,2bbl,2.97,68,31,38,6229.0
dodge,gas,std,sedan,fwd,front,93.7,157.3,63.8,1989,ohc,4,90,2bbl,2.97,68,31,38,6692.0
dodge,gas,std,sedan,fwd,front,93.7,157.3,63.8,1989,ohc,4,90,2bbl,2.97,68,31,38,7609.0
dodge,gas,std,wagon,fwd,front,103.3,174.6,64.6,2535,ohc,4,122,2bbl,3.34,88,24,30,8921.0
dodge,gas,turbo,hatchback,fwd,front,95.9,173.2,66.3,2811,ohc,4,156,mfi,3.6,145,19,24,12964.0
honda,gas,std,hatchback,fwd,front,86.6,144.6,63.9,1713,ohc,4,92,1bbl,2.91,58,49,54,6479.0
honda,gas,std,hatchback,fwd,front,86.6,144.6,63.9,1819,ohc,4,92,1bbl,2.91,76,31,38,6855.0
honda,gas,std,hatchback,fwd,front,93.7,150.0,64.0,1837,ohc,4,79,1bbl,2.91,60,38,42,5399.0
honda,gas,std,hatchback,fwd,front,93.7,150.0,64.0,1940,ohc,4,92,1bbl,2.91,76,30,34,6529.0
honda,gas,std,hatchback,fwd,front,93.7,150.0,64.0,1956,ohc,4,92,1bbl,2.91,76,30,34,7129.0
honda,gas,std,sedan,fwd,front,96.5,163.4,64.0,2010,ohc,4,92,1bbl,2.91,76,30,34,7295.0
honda,gas,std,wagon,fwd,front,96.5,157.1,63.9,2024,ohc,4,92,1bbl,2.92,76,30,34,7295.0
honda,gas,std,hatchback,fwd,front,96.5,167.5,65.2,2236,ohc,4,110,1bbl,3.15,86,27,33,7895.0
honda,gas,std,hatchback,fwd,front,96.5,167.5,65.2,2289,ohc,4,110,1bbl,3.15,86,27,33,9095.0
honda,gas,std,sedan,fwd,front,96.5,175.4,65.2,2304,ohc,4,110,1bbl,3.15,86,27,33,8845.0
honda,gas,std,sedan,fwd,front,96.5,175.4,62.5,2372,ohc,4,110,1bbl,3.15,86,27,33,10295.0
honda,gas,std,sedan,fwd,front,96.5,175.4,65.2,2465,ohc,4,110,mpfi,3.15,101,24,28,12945.0
honda,gas,std,sedan,fwd,front,96.5,169.1,66.0,2293,ohc,4,110,2bbl,3.15,100,25,31,10345.0
isuzu,gas,std,sedan,rwd,front,94.3,170.7,61.8,2337,ohc,4,111,2bbl,3.31,78,24,29,6785.0
isuzu,gas,std,hatchback,rwd,front,96.0,172.6,65.2,2734,ohc,4,119,spfi,3.43,90,24,29,11048.0
jaguar,gas,std,sedan,rwd,front,113.0,199.6,69.6,4066,dohc,6,258,mpfi,3.63,176,15,19,29680.5
jaguar,gas,std,sedan,rwd,front,113.0,199.6,69.6,4066,dohc,6,258,mpfi,3.63,176,15,19,29680.5
jaguar,gas,std,sedan,rwd,front,102.0,191.7,70.6,3950,ohcv,12,326,mpfi,3.54,262,13,17,29680.5
mazda,gas,std,hatchback,fwd,front,93.1,159.1,64.2,1890,ohc,4,91,2bbl,3.03,68,30,31,5195.0
mazda,gas,std,hatchback,fwd,front,93.1,159.1,64.2,1900,ohc,4,91,2bbl,3.03,68,31,38,6095.0
mazda,gas,std,hatchback,fwd,front,93.1,159.1,64.2,1905,ohc,4,91,2bbl,3.03,68,31,38,6795.0
mazda,gas,std,sedan,fwd,front,93.1,166.8,64.2,1945,ohc,4,91,2bbl,3.03,68,31,38,6695.0
mazda,gas,std,sedan,fwd,front,93.1,166.8,64.2,1950,ohc,4,91,2bbl,3.08,68,31,38,7395.0
mazda,gas,std,hatchback,fwd,front,98.8,177.8,66.5,2385,ohc,4,122,2bbl,3.39,84,26,32,8845.0
mazda,gas,std,sedan,fwd,front,98.8,177.8,66.5,2410,ohc,4,122,2bbl,3.39,84,26,32,8495.0
mazda,gas,std,hatchback,fwd,front,98.8,177.8,66.5,2385,ohc,4,122,2bbl,3.39,84,26,32,10595.0
mazda,gas,std,sedan,fwd,front,98.8,177.8,66.5,2410,ohc,4,122,2bbl,3.39,84,26,32,10245.0
mazda,gas,std,hatchback,fwd,front,98.8,177.8,66.5,2425,ohc,4,122,2bbl,3.39,84,26,32,11245.0
mazda,gas,std,sedan,rwd,front,104.9,175.0,66.1,2670,ohc,4,140,mpfi,3.76,120,19,27,18280.0
mazda,diesel,std,sedan,rwd,front,104.9,175.0,66.1,2700,ohc,4,134,idi,3.43,72,31,39,18344.0
mercedes-benz,diesel,turbo,sedan,rwd,front,110.0,190.9,70.3,3515,ohc,5,183,idi,3.58,123,22,25,25552.0
mercedes-benz,diesel,turbo,wagon,rwd,front,110.0,190.9,70.3,3750,ohc,5,183,idi,3.58,123,22,25,28248.0
mercedes-benz,diesel,turbo,hardtop,rwd,front,106.7,187.5,70.3,3495,ohc,5,183,idi,3.58,123,22,25,28176.0
mercedes-benz,diesel,turbo,sedan,rwd,front,115.6,202.6,71.7,3770,ohc,5,183,idi,3.58,123,22,25,29680.5
mercedes-benz,gas,std,sedan,rwd,front,115.6,202.6,71.7,3740,ohcv,8,234,mpfi,3.46,155,16,18,29680.5
mercedes-benz,gas,std,convertible,rwd,front,96.6,180.3,70.5,3685,ohcv,8,234,mpfi,3.46,155,16,18,29680.5
mercedes-benz,gas,std,sedan,rwd,front,120.9,208.1,71.7,3900,ohcv,8,308,mpfi,3.8,184,14,16,29680.5
mercedes-benz,gas,std,hardtop,rwd,front,112.0,199.2,72.0,3715,ohcv,8,304,mpfi,3.8,184,14,16,29680.5
mercury,gas,turbo,hatchback,rwd,front,102.7,178.4,68.0,2910,ohc,4,140,mpfi,3.78,175,19,24,16503.0
